station_name,latitude,longitude,free_bikes,venue_name,venue_rating,venue_address,venue_distance,venue_category,latitude_x,longitude_x,latitude_y,longitude_y
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,1,Au Trou Gascon,3.9,"40 rue Taine, 75012 Paris, France",269.55594174533724,French,,,,
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,1,Mokonuts,5.0,"5 rue Saint-Bernard, 75011 Paris, France",1863.48903201263,Cafes,,,,
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,1,Le Picotin,4.3,"35 rue Sibuet, 75012 Paris 12, France",778.003903248425,French,,,,
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12,Pho Bom,4.4,"71 avenue de Choisy, 75013 Paris, France",1388.1040507692646,Vietnamese,,,,
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12,Mondol Kiri,4.3,"159 avenue de Choisy, 75013 Paris, France",1932.84516945256,Cambodian,,,,
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",8763.891420021711,French,,,,
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12,Chinatown Olympiades,3.8,"44 avenue d'Ivry, 75013 Paris, France",1194.4245965761058,Chinese,,,,
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12,Al Dabke,4.5,"1 bis rue Robespierre, 94200 Ivry sur Seine, France",764.2598828748933,Lebanese,,,,
Mornay - Sully,48.84970399548416,2.364460788667202,5,Le Temps des Cerises,4.4,"31 rue de la Cerisaie, 75004 Paris, France",319.2166903623599,French,,,,
Mornay - Sully,48.84970399548416,2.364460788667202,5,Chez Janou,4.1,"2 rue Roger Verlomme, 75003 Paris, France",802.3998071985584,Bistros,,,,
Mornay - Sully,48.84970399548416,2.364460788667202,5,Chez Margot,4.3,"25 bis bd Henri IV, 75004 Paris, France",253.38974609404823,French,,,,
Mornay - Sully,48.84970399548416,2.364460788667202,5,Chez Mademoiselle,4.5,"16 rue Charlemagne, 75004 Paris, France",616.6384256130141,French,,,,
Mornay - Sully,48.84970399548416,2.364460788667202,5,Septime,4.3,"80 rue de Charonne, 75011 Paris, France",1260.3909330897222,Modern European,,,,
Suzanne Masson,48.923306888013,2.3847292397611,19,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",8692.031178313287,French,,,,
Suzanne Masson,48.923306888013,2.3847292397611,19,Le Réfectoire - Foodtruck,4.3,"75000 Paris, France",5151.88909767899,Food Trucks,,,,
Suzanne Masson,48.923306888013,2.3847292397611,19,"Chez Gaby, Casal Do Corvo",5.0,"13 avenue Victor Hugo, 93120 La Courneuve, France",263.1760914222247,Portuguese,,,,
Suzanne Masson,48.923306888013,2.3847292397611,19,Café Cacao,5.0,"95 rue Hélène Cochennec, 93300 Aubervilliers, France",1053.8673627898256,Dance Clubs,,,,
Suzanne Masson,48.923306888013,2.3847292397611,19,New Soul Food,4.1,"75013 Paris, France",10458.772448674254,Food Trucks,,,,
Legendre - Clichy,48.88896161855884,2.322528975094376,2,Pink Mamma,4.0,"20 bis rue de Douai, 75009 Paris, France",1175.0000476329942,Steakhouses,,,,
Legendre - Clichy,48.88896161855884,2.322528975094376,2,Al Caratello,4.7,"5 rue Audran, 75018 Paris, France",1061.6034654119155,Italian,,,,
Legendre - Clichy,48.88896161855884,2.322528975094376,2,Comme chez Maman,4.3,"5 rue des Moines, 75017 Paris, France",363.08702800433406,Bistros,,,,
Legendre - Clichy,48.88896161855884,2.322528975094376,2,Le Basilic,4.2,"33 rue Lepic, 75018 Paris, France",920.1268939418832,French,,,,
Legendre - Clichy,48.88896161855884,2.322528975094376,2,Cucuzza,4.8,"14 rue des Moines, 75017 Paris, France",304.16582920116406,Pizza,,,,
Place Charles de Gaulle,48.826073335699,2.1894485725692,0,Au Soleil Levant,4.7,"168 Grande rue, 92310 Sevres, France",1091.3142889674443,Chinese,,,,
Place Charles de Gaulle,48.826073335699,2.1894485725692,0,Le Corot,5.0,"55 rue de Versailles, 92410 Ville-d'Avray, France",649.3023919374347,French,,,,
Place Charles de Gaulle,48.826073335699,2.1894485725692,0,Le Café des Artistes,4.6,"Les Etangs de Corot, 55 rue de Versailles, 92410 Ville-d'Avray, France",692.2704904282251,French,,,,
Place Charles de Gaulle,48.826073335699,2.1894485725692,0,Le Tajmahal,4.8,"3 rue de la Garenne, 92310 Sèvres, France",1327.641410488462,Indian,,,,
Place Charles de Gaulle,48.826073335699,2.1894485725692,0,Le Réfectoire - Foodtruck,4.3,"75000 Paris, France",14093.742339090126,Food Trucks,,,,
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6,Chez Janou,4.1,"2 rue Roger Verlomme, 75003 Paris, France",1079.421890842419,Bistros,,,,
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6,Septime,4.3,"80 rue de Charonne, 75011 Paris, France",501.9173001187637,Modern European,,,,
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6,Chez Troquette,4.9,"1 rue Saint-Maur, 75011 Paris, France",135.89311107921108,French,,,,
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6,Clamato,4.4,"80 rue Charonne, 75011 Paris, France",503.75295993732135,Seafood,,,,
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6,Le Temps des Cerises,4.4,"31 rue de la Cerisaie, 75004 Paris, France",1423.2294584824606,French,,,,
Bridaine - Lamandé,48.8862074,2.3206239,4,Pink Mamma,4.0,"20 bis rue de Douai, 75009 Paris, France",1121.770858616622,Steakhouses,,,,
Bridaine - Lamandé,48.8862074,2.3206239,4,Al Caratello,4.7,"5 rue Audran, 75018 Paris, France",1122.0059670144865,Italian,,,,
Bridaine - Lamandé,48.8862074,2.3206239,4,Comme chez Maman,4.3,"5 rue des Moines, 75017 Paris, France",243.90721814343468,Bistros,,,,
Bridaine - Lamandé,48.8862074,2.3206239,4,L'Endroit,3.8,"67 place du Docteur Félix Lobligeois, 75017 Paris, France",181.5145112886544,Bistros,,,,
Bridaine - Lamandé,48.8862074,2.3206239,4,Le Club des 5,3.9,"57 rue des Batignolles, 75017 Paris, France",115.78390351760112,French,,,,
