station_name,venue_name,venue_address,venue_distance,venue_latitude,venue_longitude
Mornay - Sully,Sherry Butt,"20 rue Beautreillis, Paris",396,N/A,N/A
Mornay - Sully,Opéra Bastille,120 rue de Lyon,516,N/A,N/A
Mornay - Sully,Place de la Bastille,2 bis place de la Bastille,511,N/A,N/A
Suzanne Masson,Point.P,21 rue de Genève,410,N/A,N/A
Suzanne Masson,La Poste,54 avenue Gabriel Peri,573,N/A,N/A
Suzanne Masson,Pharmacie du Centre,23 Centre Commercial de la Tour,646,N/A,N/A
Suzanne Masson,ENEDIS la Courneuve,27 rue de la Convention,697,N/A,N/A
Suzanne Masson,Domaliance,76 rue de la Convention,699,N/A,N/A
Legendre - Clichy,Marché Couvert Batignolles,96 Bis rue Lemercier,233,N/A,N/A
Legendre - Clichy,Menelik,4 rue Sauffroy,243,N/A,N/A
Legendre - Clichy,Cucuzza,14 rue des Moines,305,N/A,N/A
Legendre - Clichy,Le Refuge des Moines,85 rue des Moines,312,N/A,N/A
Legendre - Clichy,L'Etabli,2 rue Lamandé,347,N/A,N/A
Place Charles de Gaulle,Song Giang,13 rue de Sèvres,89,N/A,N/A
Place Charles de Gaulle,Perrinelle Bernard,3 rue de Sèvres,109,N/A,N/A
Place Charles de Gaulle,La Crêperie des Artistes,1 sentier Saintie,413,N/A,N/A
Place Charles de Gaulle,A la Reine Astrid,38 rue de Saint Cloud,309,N/A,N/A
Place Charles de Gaulle,Les Délices d'Avray,44 rue de Saint-Cloud,328,N/A,N/A
Roquette - Auguste Laurent,VG Pâtisserie,123 boulevard Voltaire,119,N/A,N/A
Roquette - Auguste Laurent,Chez Aline,"85 rue de la Roquette, 11e",261,N/A,N/A
Roquette - Auguste Laurent,Le Servan,32 rue Saint-Maur,342,N/A,N/A
Roquette - Auguste Laurent,Atelier des Lumières,38 rue Saint-Maur,437,N/A,N/A
Roquette - Auguste Laurent,Yemma,119 rue du chemin Vert,433,N/A,N/A
Bridaine - Lamandé,L'Etabli,2 rue Lamandé,18,N/A,N/A
Bridaine - Lamandé,L'Ebeniste du Vin,72 rue Boursault,202,N/A,N/A
Bridaine - Lamandé,Café Dose Paris Batignolles,82 place du Docteur Félix Lobligeois,228,N/A,N/A
Bridaine - Lamandé,Cucuzza,14 rue des Moines,236,N/A,N/A
Bridaine - Lamandé,Le Boeuf Volant,4 rue Marriotte,239,N/A,N/A
Ney - Porte de Montmartre,La Poste,11 avenue de la Porte de Montmartre,75,N/A,N/A
Ney - Porte de Montmartre,La Bricole,52 rue Leibniz,310,N/A,N/A
Ney - Porte de Montmartre,Franprix,21 rue Angélique Compoint,147,N/A,N/A
Ney - Porte de Montmartre,Le Sultan,39 rue du Docteur Babinski,423,N/A,N/A
Ney - Porte de Montmartre,Picolo,58 rue Jules Vallès,443,N/A,N/A
Place du Canada,Grand Palais,"3 avenue du Général Eisenhower, 8e",196,N/A,N/A
Place du Canada,DIOR Galerie,11 rue François Premier,264,N/A,N/A
Place du Canada,Théâtre du Rond-Point,2 bis avenue Franklin Delano Roosevelt,291,N/A,N/A
Place du Canada,Chanel,"42 avenue Montaigne, Paris",296,N/A,N/A
Place du Canada,Alexander III Bridge (Pont Alexandre III),Cours la Reine - Quai d'Orsay,303,N/A,N/A
Francoeur - Marcadet,Comestibles et Marchand de Vins,65 rue du mont-Cenis,259,N/A,N/A
Francoeur - Marcadet,Squash Montmartre,14 rue Achille Martinet,252,N/A,N/A
Francoeur - Marcadet,Place Dalida,place Dalida,310,N/A,N/A
Francoeur - Marcadet,Au Lapin Agile,22 rue des Saules,275,N/A,N/A
Francoeur - Marcadet,Buste de Dalida (Buste De Dalida),2 allée des Brouillards,310,N/A,N/A
Georges V - François 1er,Miss Ko,49-51 avenue Georges V,67,N/A,N/A
Georges V - François 1er,Kenzo,49-51 avenue George V,80,N/A,N/A
Georges V - François 1er,Akira Back,Hôtel Prince de Galles,121,N/A,N/A
Georges V - François 1er,Fouquet's,99 avenue des Champs-Élysées avenue Georges V,120,N/A,N/A
Georges V - François 1er,Louis Vuitton Maison Champs Élysées,101 avenue des Champs-Élysées,136,N/A,N/A
Gare de Pont-Cardinet,Square des Batignolles,"144 bis, rue Cardinet",149,N/A,N/A
Gare de Pont-Cardinet,Café Dose Paris Batignolles,82 place du Docteur Félix Lobligeois,241,N/A,N/A
Gare de Pont-Cardinet,L'Ebeniste du Vin,72 rue Boursault,268,N/A,N/A
Gare de Pont-Cardinet,Cucuzza,14 rue des Moines,316,N/A,N/A
Gare de Pont-Cardinet,Parc Clichy-Batignolles,147 rue Cardinet,399,N/A,N/A
Square Pierre Lazareff,Les Amis des Messina,81 rue Réaumur,21,N/A,N/A
Square Pierre Lazareff,BREIZH Café | La Crêpe Autrement,14 rue des Petits Carreaux,76,N/A,N/A
Square Pierre Lazareff,Hoppy Corner,34 rue des Petits Carreaux,94,N/A,N/A
Square Pierre Lazareff,Redd,28 rue Saint-Sauveur,105,N/A,N/A
Square Pierre Lazareff,The French Bastards,181 rue Saint-Denis,224,N/A,N/A
Marceau - Chaillot,Maxan,3 rue Quentin Bauchart,61,N/A,N/A
Marceau - Chaillot,Pret A Manger,58 avenue Marceau,145,N/A,N/A
Marceau - Chaillot,Akira Back,Hôtel Prince de Galles,150,N/A,N/A
Marceau - Chaillot,La Galerie,31 avenue George V,142,N/A,N/A
Marceau - Chaillot,Le Bar,31 avenue George V,180,N/A,N/A
Vaugirard - Monsieur le Prince,La Filmothèque du Quartier Latin,9 rue Champollion,129,N/A,N/A
Vaugirard - Monsieur le Prince,13 au Jardin,5 rue de Médicis,125,N/A,N/A
Vaugirard - Monsieur le Prince,Medici Fountain (Fontaine Médicis),Jardin du Luxembourg,204,N/A,N/A
Vaugirard - Monsieur le Prince,Amorino,22 rue Soufflot,200,N/A,N/A
Vaugirard - Monsieur le Prince,Gibert Joseph,26-34 boulevard Saint Michel,204,N/A,N/A
Edouard Vaillant - Galliéni,Sephora,235 rue Etienne Marcel,342,N/A,N/A
Edouard Vaillant - Galliéni,La Table d'Emile,7 rue Emile Zola,549,N/A,N/A
Edouard Vaillant - Galliéni,Adonis,207 rue de Paris,546,N/A,N/A
Edouard Vaillant - Galliéni,Prothia,26 rue Serpollet,301,N/A,N/A
Edouard Vaillant - Galliéni,Restaurant Obrigado,8 avenue de la Porte de Montreuil,586,N/A,N/A
Gare Rosny-Bois-Perrier,Fnac,2 avenue du Général de Gaulle,122,N/A,N/A
Gare Rosny-Bois-Perrier,Apple Rosny 2,avenue du General-de-Gaulle,342,N/A,N/A
Gare Rosny-Bois-Perrier,Zara France,2 avenue du Général de Gaulle,235,N/A,N/A
Gare Rosny-Bois-Perrier,Chidori Maji,78 avenue du Général de Gaulle,320,N/A,N/A
