station_name,yelp_business_name,foursquare_business_name,yelp_rating,foursquare_rating,yelp_distance,foursquare_distance
Mairie de Rosny-sous-Bois,Le New Shalimar,Galeries Lafayette,4.0,N/A,991.6434351146984,206
Mairie de Rosny-sous-Bois,Le New Shalimar,Rosny 4 Saisons,4.0,N/A,991.6434351146984,215
Mairie de Rosny-sous-Bois,Pes,La Poste,5.0,N/A,124.65271345744598,170
Mairie de Rosny-sous-Bois,Pes,Restaurant Shalimar Indien et Pakistanais,5.0,N/A,124.65271345744598,184
Mairie de Rosny-sous-Bois,Pes,Rapid'Epave,5.0,N/A,124.65271345744598,194
Mairie de Rosny-sous-Bois,Pes,Galeries Lafayette,5.0,N/A,124.65271345744598,206
Mairie de Rosny-sous-Bois,Pes,Rosny 4 Saisons,5.0,N/A,124.65271345744598,215
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,La Poste,3.0,N/A,187.12790222263607,170
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,Restaurant Shalimar Indien et Pakistanais,3.0,N/A,187.12790222263607,184
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,Rapid'Epave,3.0,N/A,187.12790222263607,194
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,Galeries Lafayette,3.0,N/A,187.12790222263607,206
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,Rosny 4 Saisons,3.0,N/A,187.12790222263607,215
Mouton Duvernet - Général Leclerc,Chez Félicie,Aux Plumes,3.9,N/A,354.8759898314076,132
Mouton Duvernet - Général Leclerc,Chez Félicie,A Mi Chemin,3.9,N/A,354.8759898314076,176
Mouton Duvernet - Général Leclerc,Chez Félicie,Les Sourires de Dante,3.9,N/A,354.8759898314076,198
Mouton Duvernet - Général Leclerc,Chez Félicie,Burger King,3.9,N/A,354.8759898314076,311
Mouton Duvernet - Général Leclerc,Chez Félicie,Un Jour à Hà Nôi,3.9,N/A,354.8759898314076,356
Mouton Duvernet - Général Leclerc,Café du Rendez-Vous,Aux Plumes,3.6,N/A,282.7438391799255,132
Mouton Duvernet - Général Leclerc,Café du Rendez-Vous,A Mi Chemin,3.6,N/A,282.7438391799255,176
Mouton Duvernet - Général Leclerc,Café du Rendez-Vous,Les Sourires de Dante,3.6,N/A,282.7438391799255,198
